Day,RiseTime,SetTime
1/1/2021,8.732,15.927
2/1/2021,8.727,15.947
3/1/2021,8.722,15.969
4/1/2021,8.715,15.991
5/1/2021,8.707,16.014
6/1/2021,8.698,16.039
7/1/2021,8.687,16.063
8/1/2021,8.676,16.089
9/1/2021,8.664,16.115
10/1/2021,8.651,16.142
11/1/2021,8.637,16.170
12/1/2021,8.621,16.199
13/1/2021,8.605,16.228
14/1/2021,8.588,16.257
15/1/2021,8.570,16.287
16/1/2021,8.551,16.318
17/1/2021,8.531,16.349
18/1/2021,8.510,16.381
19/1/2021,8.489,16.413
20/1/2021,8.466,16.445
21/1/2021,8.443,16.478
22/1/2021,8.419,16.511
23/1/2021,8.395,16.545
24/1/2021,8.369,16.579
25/1/2021,8.343,16.613
26/1/2021,8.316,16.647
27/1/2021,8.288,16.682
28/1/2021,8.260,16.717
29/1/2021,8.231,16.751
30/1/2021,8.201,16.787
31/1/2021,8.171,16.822
1/2/2021,8.141,16.857
2/2/2021,8.109,16.893
3/2/2021,8.077,16.929
4/2/2021,8.045,16.964
5/2/2021,8.012,17.000
6/2/2021,7.979,17.036
7/2/2021,7.945,17.072
8/2/2021,7.910,17.108
9/2/2021,7.876,17.144
10/2/2021,7.840,17.180
11/2/2021,7.805,17.216
12/2/2021,7.769,17.252
13/2/2021,7.732,17.288
14/2/2021,7.695,17.324
15/2/2021,7.658,17.359
16/2/2021,7.620,17.395
17/2/2021,7.582,17.431
18/2/2021,7.544,17.467
19/2/2021,7.506,17.502
20/2/2021,7.467,17.538
21/2/2021,7.428,17.573
22/2/2021,7.388,17.608
23/2/2021,7.348,17.644
24/2/2021,7.308,17.679
25/2/2021,7.268,17.714
26/2/2021,7.228,17.749
27/2/2021,7.187,17.784
28/2/2021,7.146,17.819
1/3/2021,7.105,17.853
2/3/2021,7.064,17.888
3/3/2021,7.022,17.923
4/3/2021,6.981,17.957
5/3/2021,6.939,17.992
6/3/2021,6.897,18.026
7/3/2021,6.855,18.060
8/3/2021,6.813,18.095
9/3/2021,6.770,18.129
10/3/2021,6.728,18.163
11/3/2021,6.685,18.197
12/3/2021,6.643,18.231
13/3/2021,6.600,18.265
14/3/2021,6.557,18.298
15/3/2021,6.514,18.332
16/3/2021,6.471,18.366
17/3/2021,6.428,18.399
18/3/2021,6.385,18.433
19/3/2021,6.342,18.467
20/3/2021,6.299,18.500
21/3/2021,6.256,18.533
22/3/2021,6.212,18.567
23/3/2021,6.169,18.600
24/3/2021,6.126,18.633
25/3/2021,6.083,18.667
26/3/2021,6.039,18.700
27/3/2021,5.996,18.733
28/3/2021,5.953,18.766
29/3/2021,5.910,18.800
30/3/2021,5.867,18.833
31/3/2021,5.824,18.866
1/4/2021,5.781,18.899
2/4/2021,5.738,18.932
3/4/2021,5.695,18.965
4/4/2021,5.652,18.999
5/4/2021,5.609,19.032
6/4/2021,5.567,19.065
7/4/2021,5.524,19.098
8/4/2021,5.482,19.132
9/4/2021,5.440,19.165
10/4/2021,5.398,19.198
11/4/2021,5.356,19.231
12/4/2021,5.314,19.265
13/4/2021,5.272,19.298
14/4/2021,5.231,19.331
15/4/2021,5.190,19.365
16/4/2021,5.148,19.398
17/4/2021,5.108,19.431
18/4/2021,5.067,19.464
19/4/2021,5.026,19.498
20/4/2021,4.986,19.531
21/4/2021,4.946,19.564
22/4/2021,4.907,19.597
23/4/2021,4.867,19.631
24/4/2021,4.828,19.664
25/4/2021,4.789,19.697
26/4/2021,4.750,19.730
27/4/2021,4.712,19.763
28/4/2021,4.674,19.796
29/4/2021,4.637,19.829
30/4/2021,4.599,19.862
1/5/2021,4.562,19.895
2/5/2021,4.526,19.927
3/5/2021,4.490,19.960
4/5/2021,4.454,19.992
5/5/2021,4.419,20.025
6/5/2021,4.384,20.057
7/5/2021,4.350,20.089
8/5/2021,4.316,20.121
9/5/2021,4.282,20.153
10/5/2021,4.249,20.184
11/5/2021,4.217,20.216
12/5/2021,4.185,20.247
13/5/2021,4.154,20.278
14/5/2021,4.123,20.309
15/5/2021,4.093,20.339
16/5/2021,4.063,20.369
17/5/2021,4.034,20.399
18/5/2021,4.006,20.428
19/5/2021,3.978,20.457
20/5/2021,3.951,20.485
21/5/2021,3.925,20.514
22/5/2021,3.899,20.541
23/5/2021,3.875,20.568
24/5/2021,3.851,20.595
25/5/2021,3.827,20.621
26/5/2021,3.805,20.647
27/5/2021,3.783,20.672
28/5/2021,3.762,20.697
29/5/2021,3.742,20.720
30/5/2021,3.723,20.744
31/5/2021,3.705,20.766
1/6/2021,3.687,20.788
2/6/2021,3.671,20.809
3/6/2021,3.655,20.830
4/6/2021,3.641,20.849
5/6/2021,3.627,20.868
6/6/2021,3.615,20.886
7/6/2021,3.603,20.904
8/6/2021,3.592,20.920
9/6/2021,3.583,20.935
10/6/2021,3.574,20.950
11/6/2021,3.567,20.964
12/6/2021,3.560,20.976
13/6/2021,3.555,20.988
14/6/2021,3.551,20.999
15/6/2021,3.547,21.008
16/6/2021,3.545,21.017
17/6/2021,3.544,21.025
18/6/2021,3.544,21.031
19/6/2021,3.545,21.037
20/6/2021,3.547,21.041
21/6/2021,3.550,21.044
22/6/2021,3.554,21.047
23/6/2021,3.559,21.048
24/6/2021,3.565,21.048
25/6/2021,3.573,21.047
26/6/2021,3.581,21.045
27/6/2021,3.590,21.042
28/6/2021,3.600,21.038
29/6/2021,3.612,21.032
30/6/2021,3.624,21.026
1/7/2021,3.637,21.019
2/7/2021,3.651,21.010
3/7/2021,3.666,21.001
4/7/2021,3.682,20.990
5/7/2021,3.698,20.979
6/7/2021,3.716,20.966
7/7/2021,3.734,20.953
8/7/2021,3.753,20.938
9/7/2021,3.773,20.923
10/7/2021,3.794,20.907
11/7/2021,3.815,20.889
12/7/2021,3.837,20.871
13/7/2021,3.859,20.852
14/7/2021,3.883,20.832
15/7/2021,3.906,20.811
16/7/2021,3.931,20.790
17/7/2021,3.956,20.767
18/7/2021,3.981,20.744
19/7/2021,4.007,20.720
20/7/2021,4.033,20.695
21/7/2021,4.060,20.669
22/7/2021,4.087,20.643
23/7/2021,4.115,20.616
24/7/2021,4.143,20.588
25/7/2021,4.171,20.560
26/7/2021,4.200,20.531
27/7/2021,4.229,20.501
28/7/2021,4.258,20.471
29/7/2021,4.288,20.440
30/7/2021,4.318,20.409
31/7/2021,4.348,20.377
1/8/2021,4.378,20.344
2/8/2021,4.409,20.311
3/8/2021,4.439,20.278
4/8/2021,4.470,20.244
5/8/2021,4.501,20.209
6/8/2021,4.532,20.174
7/8/2021,4.564,20.139
8/8/2021,4.595,20.103
9/8/2021,4.627,20.067
10/8/2021,4.658,20.030
11/8/2021,4.690,19.993
12/8/2021,4.722,19.956
13/8/2021,4.753,19.918
14/8/2021,4.785,19.880
15/8/2021,4.817,19.842
16/8/2021,4.849,19.803
17/8/2021,4.881,19.764
18/8/2021,4.913,19.725
19/8/2021,4.945,19.685
20/8/2021,4.977,19.645
21/8/2021,5.008,19.605
22/8/2021,5.040,19.565
23/8/2021,5.072,19.524
24/8/2021,5.104,19.483
25/8/2021,5.136,19.442
26/8/2021,5.168,19.401
27/8/2021,5.200,19.359
28/8/2021,5.232,19.318
29/8/2021,5.264,19.276
30/8/2021,5.295,19.234
31/8/2021,5.327,19.192
1/9/2021,5.359,19.150
2/9/2021,5.391,19.107
3/9/2021,5.423,19.065
4/9/2021,5.455,19.022
5/9/2021,5.486,18.979
6/9/2021,5.518,18.936
7/9/2021,5.550,18.893
8/9/2021,5.582,18.850
9/9/2021,5.613,18.807
10/9/2021,5.645,18.763
11/9/2021,5.677,18.720
12/9/2021,5.709,18.677
13/9/2021,5.740,18.633
14/9/2021,5.772,18.590
15/9/2021,5.804,18.546
16/9/2021,5.836,18.503
17/9/2021,5.867,18.459
18/9/2021,5.899,18.416
19/9/2021,5.931,18.372
20/9/2021,5.963,18.328
21/9/2021,5.995,18.285
22/9/2021,6.026,18.241
23/9/2021,6.058,18.198
24/9/2021,6.090,18.154
25/9/2021,6.122,18.111
26/9/2021,6.154,18.067
27/9/2021,6.186,18.024
28/9/2021,6.219,17.981
29/9/2021,6.251,17.937
30/9/2021,6.283,17.894
1/10/2021,6.316,17.851
2/10/2021,6.348,17.808
3/10/2021,6.381,17.765
4/10/2021,6.413,17.723
5/10/2021,6.446,17.680
6/10/2021,6.479,17.638
7/10/2021,6.512,17.595
8/10/2021,6.545,17.553
9/10/2021,6.578,17.511
10/10/2021,6.611,17.469
11/10/2021,6.644,17.428
12/10/2021,6.677,17.386
13/10/2021,6.711,17.345
14/10/2021,6.744,17.304
15/10/2021,6.778,17.263
16/10/2021,6.811,17.222
17/10/2021,6.845,17.182
18/10/2021,6.879,17.141
19/10/2021,6.913,17.101
20/10/2021,6.947,17.062
21/10/2021,6.981,17.022
22/10/2021,7.015,16.983
23/10/2021,7.049,16.944
24/10/2021,7.084,16.906
25/10/2021,7.118,16.868
26/10/2021,7.153,16.830
27/10/2021,7.187,16.792
28/10/2021,7.222,16.755
29/10/2021,7.256,16.719
30/10/2021,7.291,16.682
31/10/2021,7.326,16.646
1/11/2021,7.361,16.611
2/11/2021,7.395,16.576
3/11/2021,7.430,16.541
4/11/2021,7.465,16.507
5/11/2021,7.500,16.473
6/11/2021,7.534,16.440
7/11/2021,7.569,16.407
8/11/2021,7.604,16.375
9/11/2021,7.638,16.344
10/11/2021,7.673,16.313
11/11/2021,7.707,16.282
12/11/2021,7.741,16.253
13/11/2021,7.775,16.223
14/11/2021,7.809,16.195
15/11/2021,7.843,16.167
16/11/2021,7.876,16.140
17/11/2021,7.909,16.113
18/11/2021,7.942,16.087
19/11/2021,7.975,16.062
20/11/2021,8.007,16.038
21/11/2021,8.039,16.015
22/11/2021,8.071,15.992
23/11/2021,8.102,15.970
24/11/2021,8.133,15.949
25/11/2021,8.163,15.929
26/11/2021,8.193,15.910
27/11/2021,8.223,15.891
28/11/2021,8.252,15.874
29/11/2021,8.280,15.857
30/11/2021,8.308,15.842
1/12/2021,8.335,15.827
2/12/2021,8.362,15.814
3/12/2021,8.388,15.801
4/12/2021,8.413,15.790
5/12/2021,8.438,15.779
6/12/2021,8.461,15.770
7/12/2021,8.484,15.762
8/12/2021,8.506,15.755
9/12/2021,8.528,15.749
10/12/2021,8.548,15.744
11/12/2021,8.567,15.740
12/12/2021,8.586,15.737
13/12/2021,8.603,15.736
14/12/2021,8.620,15.735
15/12/2021,8.635,15.736
16/12/2021,8.650,15.738
17/12/2021,8.663,15.741
18/12/2021,8.676,15.745
19/12/2021,8.687,15.751
20/12/2021,8.698,15.757
21/12/2021,8.707,15.765
22/12/2021,8.715,15.774
23/12/2021,8.722,15.784
24/12/2021,8.727,15.795
25/12/2021,8.732,15.807
26/12/2021,8.736,15.820
27/12/2021,8.738,15.835
28/12/2021,8.739,15.850
29/12/2021,8.739,15.866
30/12/2021,8.738,15.884
31/12/2021,8.736,15.902
